,Topic,Count,Name,Representation,Representative_Docs
57,56,32,56_心臓_止まっ_心拍_停止,"['心臓', '止まっ', '心拍', '停止', '心拍 止まっ', '心拍 停止', '心臓 止まっ', '止まっ しまっ', '成長 止まっ', '止まっ 心拍 止まっ']","['受診 心拍 止まっ 心拍 止まっ 心拍 止まっ しまっ 心拍 確認 下がっ 懐かしい 頑張っ 大きく', '心拍 止まっ 心臓 止まっ 心臓 止まっ しまっ 心拍 止まっ 恵方 悲しい 気持ち なっ', '赤ちゃん 心拍 止まっ 心拍 止まっ 心拍 止まっ しまっ 大き 成長 止まっ 成長 止まっ']"
58,57,32,57_連れ子_実子_離れ 実子_連れ子 離れ,"['連れ子', '実子', '離れ 実子', '連れ子 離れ', '離れ', '連れ子 離れ 実子', '実子 子育て', '離れ 実子 子育て', '子育て 連れ子', '実子 子育て 連れ子']","['連れ子 離れ 実子 離れ 実子 子育て 連れ子 連れ子 離れ 離れ 実子', '離れ 実子 子育て 連れ子 離れ 実子 連れ子 連れ子 離れ なり 現在 連れ子', '離れ 実子 子育て 連れ子 離れ 実子 連れ子 離れ 連れ子 時期 連れ子 離れ']"
59,58,32,58_発育_不全_発育 不全_胎児 発育,"['発育', '不全', '発育 不全', '胎児 発育', '不全 発覚', '胎児', '発育 不全 発覚', '胎児 発育 不全', '綴っ 胎児 発育', '綴っ 胎児']","['発育 不全 発覚 胎児 発育 不全 綴っ 胎児 発育 不安 戦い 続け 不全 発覚', '発育 不全 発覚 胎児 発育 不全 綴っ 胎児 発育 不全 発覚 不全 発覚 出産', '発育 不全 発覚 胎児 発育 不全 綴っ 胎児 発育 不全 発覚 発育 不全']"
60,59,32,59_写真_写真 写真_写真 撮ら_撮ら,"['写真', '写真 写真', '写真 撮ら', '撮ら', '七五三 写真', '写真 もらっ', '七五三', '写真 家族', '見苦しい', '撮影']","['家族 全員 写真 写真 沢山 撮っ なり 片付け 写真 来 写真 沢山 写真 撮ら 部屋', '撮ら 見苦しい 写真 写真 撮ら 見苦しい ふい 写真 撮ら 見苦しい 写真 見苦しい 写真 出', '下垂 写真 下垂 写真 撮ら 写真 撮ら 写真 写真 写り込ん かなり 眼瞼 下垂 写真']"
61,60,32,60_発達_息子 発達_発達 障害_障害,"['発達', '息子 発達', '発達 障害', '障害', '息子', '障がい', '障害 息子', '自閉', '発達 息子', '息子 自閉']","['息子 発達 外来 発達 障害 子ども 息子 発達 障害 恵子 発達 障害 息子 自閉 発達', '小学 息子 発達 息子 発達 障害 息子 発達 処方 箋 発行 当時 小学 息子', '小学 息子 発達 息子 発達 障害 息子 発達 発達 発達 障害']"
62,61,31,61_帝王_切開_帝王 切開_帝王 帝王,"['帝王', '切開', '帝王 切開', '帝王 帝王', '帝王 帝王 切開', '予定 帝王', '緊急 帝王', '帝王 切開 予定', '切開 予定', '緊急']","['帝王 切開 術後 術後 緊急 帝王 緊急 帝王 切開 帝王 切開 記録 緊急 帝王', '帝王 切開 確定 帝王 切開 予定 予定 帝王 帝王 帝王 切開 出産', 'やっぱり 帝王 切開 やっぱり 帝王 帝王 切開 予定 き やっぱり 帝王 帝王 切開 怖い']"
63,62,31,62_子ども 連れ_ござい 子ども_子育て 子連れ_連れ,"['子ども 連れ', 'ござい 子ども', '子育て 子連れ', '連れ', '子ども', '子連れ 子育て', 'ござい 子ども 連れ', '子連れ', '子連れ 子育て 子連れ', '連れ 結婚']","['ござい 子ども 連れ 子ども 連れ ござい 子ども 結婚 子ども 連れ 子ども 連れ 結婚', 'ござい 子ども 連れ 子ども 連れ 結婚 子ども 連れ 子ども 連れ 結婚 連れ 結婚 子ども', 'ござい 子ども 連れ 子ども 連れ 結婚 子ども 連れ 子ども 連れ 結婚 連れ 結婚 子ども']"
64,63,31,63_扇風_扇風 扇風_磁石_携帯 扇風,"['扇風', '扇風 扇風', '磁石', '携帯 扇風', '充電', '強風', '扇風 携帯', '扇風 携帯 扇風', '携帯', '風量']","['冷却 充電 扇風 機 携帯 扇風 強風 冷却 充電 充電 扇風 機 携帯 扇風 機', '扇風 機 扇風 扇風 携帯 扇風 機 機 携帯 扇風 携帯 扇風', '扇風 機 扇風 冷却 充電 扇風 扇風 機 卓上 機 卓上 扇風 機 携帯 扇風']"
65,64,30,64_くれる 励み_命じ_安静 命じ_葉月 気持ち,"['くれる 励み', '命じ', '安静 命じ', '葉月 気持ち', '葉月', '励み', '妊娠', '同期', '出産', '立ち会い 出産']","['押し くれる 励み 絶対 安静 命じ 妊娠 生理 出血 くれる 励み 安静 命じ', '押し くれる 励み 絶対 安静 命じ 妊娠 生理 出血 くれる 励み 安静 命じ', '押し くれる 励み 絶対 安静 命じ 妊娠 生理 出血 くれる 励み 安静 命じ']"
66,65,30,65_ブログ_ブログ 書い_ブログ つい_フェイク 入れ,"['ブログ', 'ブログ 書い', 'ブログ つい', 'フェイク 入れ', 'フェイク', '書い', 'たびたび', 'ブログ つい たびたび', 'つい たびたび', 'アート']","['フェイク 入れ 下がり ブログ つい ママ ブログ つい たびたび フェイク 入れ 構成 入れ 下がり 喜ん', 'フェイク 入れ 構成 ブログ つい たびたび 入れ 構成 エピソード フェイク 入れ フェイク 入れ 色違い', 'フェイク 入れ 構成 エピソード フェイク 入れ フェイク 入れ フェイク 入れ 人気 ブログ つい たびたび']"
67,66,30,66_食べ_息子 食べ_食べ 息子_食べる,"['食べ', '息子 食べ', '食べ 息子', '食べる', '食べ 息子 食べ', '子供 食べ', '息子', '間食', '飲み込め', '食べ レジ']","['息子 食べ いい 夫 息子 食べ 息子 食べ 食べ 家族 食べ 血圧 義母 食', '食べ 息子 食べ 菓子 食べ 息子 食べ 菓子 食べ 言う 食べ 食べ', '息子 食べ 食べ 息子 食べ 息子 食べ 皿 食べ 息子 食べ 課題 息子']"
68,67,30,67_水分_塩水_水分 たっぷり_受け付け,"['水分', '塩水', '水分 たっぷり', '受け付け', '宮城', '水栓', '入水', '水中', '軟水', '水分 水分']","['水分 受け付け とっ 吐か 水分 受け付け 吐か 水分 ついに 全て 外れる 水分 受け付け', '行き 水分 摂ら ない 水分 摂ら 水分 摂ら いる 行き 水分 水分 摂ら', '受け付け 水分 挑戦 水分 挑戦 思っ 水分 挑戦 なっ 受け付け 水分 受け付け 水分']"
69,68,29,68_健診_週間 健診_週間_健診 週間,"['健診', '週間 健診', '週間', '健診 週間', '健診 週間 健診', '週間 健診 週間', '突入 週間', '週間 健診 週間 健診', '術後', '術後 週間']","['突入 週間 健診 週間 健診 なり 週間 健診 性別 わかっ 瞬間 いう 突入 週間', '突入 週間 健診 週間 健診 昨日 妊婦 健診 週間 健診 なり 日間', '突入 週間 健診 週間 健診 週間 健診 なり 健診 ござい 期間 突入 週間']"
70,69,29,69_達成_達成 年間_年間_年間 達成 年間,"['達成', '達成 年間', '年間', '年間 達成 年間', '達成 年間 達成', '達成 年間 達成 年間', '年間 達成', '毎年', '年商', '年間 大手']","['桁 達成 年間 達成 年間 達成 年間 大手 年商 桁 達成 チビ 笑 年間', '桁 達成 年間 達成 年間 達成 年間 大手 独立 理想 人生 年商 桁 達成', '達成 年間 桁 達成 年間 達成 年間 大手 年商 桁 達成 タイム 傍ら 年商']"
71,70,29,70_移り_ジャンル_治療 ジャンル 子育て_不妊 治療 ジャンル,"['移り', 'ジャンル', '治療 ジャンル 子育て', '不妊 治療 ジャンル', '男の子 移り 不妊 治療 ジャンル', '移り 不妊 治療 ジャンル 子育て', '移り 不妊 治療 ジャンル', '不妊 治療 ジャンル 子育て', '治療 ジャンル', '男の子 移り']","['子育て ジャンル 移り 帝王 切開 男の子 移り 不妊 治療 ジャンル 経 子育て 追記 不妊 治療', '子育て ジャンル 移り 帝王 切開 男の子 移り 不妊 治療 ジャンル 経 子育て 追記 不妊 治療', '子育て ジャンル 移り 帝王 切開 男の子 移り 不妊 治療 ジャンル 経 子育て 追記 不妊 治療']"
72,71,28,71_神社_神宮_大宮_神社 神社,"['神社', '神宮', '大宮', '神社 神社', '参り', '大宮 国際', '安産', '供養', '西園寺', '絵馬']","['神社 着く 止み 神社 大吉 神社 み 神社 凶 神社 大吉', '神社 大阪 天王寺 天王寺 茶臼山町 神社 神社 守り 神社 参り 神社', '食べ 近所 神社 祈願 神社 しっかり 神社 しっかり 願い 神社 しっかり 神社 初詣 安産']"
73,72,27,72_飲み_飲み会_飲ん_飲み物,"['飲み', '飲み会', '飲ん', '飲み物', '飲み込める', '飲み込み', '飲み食い', '飲み込み 早い', '吐き気 止め', '吐き気']","['クロミッド 日間 飲み いっ 開き直る タイミング 飲み 自己 タイミング クロミッド 飲み 終わり クロミッド 飲み', '周り 見え 仕事 飲み 始め 飲み 始め 効果 最近 飲み 始め 飲み 始め ダル', '飲み物 飲み込める 外出 飲み込める 外出 飲み込める 外出 する しまっ 飲み物 飲み込める 飲み物 飲み込める']"
74,73,27,73_高校_中学_高校 高校_転学,"['高校', '中学', '高校 高校', '転学', '空手', '学校 高校', '高校 時代', '高校 転学', 'モコ', '高校 中学']","['高校 いい 高校 参加 主人 高校 主人 高校 高校 いい いい 高校', '高校 生活 束の間 高校 私立 高校 高校 転ん いい 私立 高校 転ん 高校 私立', '高校 中学 高校 中学 友達 高校 学校 新しい 転学 人数 高校 み 高校 中学']"
75,74,27,74_プレゼント_ギフト_誕生 プレゼント_プレゼント プレゼント,"['プレゼント', 'ギフト', '誕生 プレゼント', 'プレゼント プレゼント', '誕生', '産後 ギフト', '口紅', '修正', 'ブリュレ', '名入れ']","['入院 産後 ギフト 当院 産後 ギフト 産後 ギフト 産後 ギフト 一部 産後 ギフト 選ん', '誕生 プレゼント 友達 誕生 当日 祝い 誕生 プレゼント 当日 祝い 出来 頂き 誕生 プレゼント', '息子 誕生 プレゼント 誕生 プレゼント プレゼント 誕生 プレゼント 送っ フライ パンダ 柴田']"
76,75,27,75_子育て 今後_紹介 久し_今後_読者 子育て,"['子育て 今後', '紹介 久し', '今後', '読者 子育て', '今後 読者', '今後 読者 子育て', '読者 子育て 今後', '子育て 今後 読者 子育て', '子育て 今後 読者', '今後 読者 子育て 今後']","['子育て 今後 読者 子育て 今後 性格 子育て 今後 自己 紹介 久し 紹介 久し 近況', '子育て 今後 読者 子育て 今後 性格 子育て 今後 自己 紹介 久し 紹介 久し 近況', '子育て 今後 読者 子育て 今後 性格 子育て 今後 自己 紹介 久し 紹介 久し 近況']"
77,76,27,76_朝食_朝食 食べ_朝食 朝食_食べ 朝食,"['朝食', '朝食 食べ', '朝食 朝食', '食べ 朝食', '食べ', '朝食 食べ 朝食', '朝食 海外', '朝食 食べ 朝食 食べ', '料金 朝食', '食べる 朝食']","['朝食 食べ 顔 朝食 食べ 朝食 食べ 姿 顔 朝食 死ん 顔 朝食', 'かけ 朝食 食べ 朝食 食べ かけ 朝食 半 かけ 朝食 朝食 食べ 終え', '朝食 食べ 朝 朝食 食べ 食べる 朝食 変わら 朝食 食べ 起き 朝食 食べ']"
78,77,27,77_移植_判定_不発_最後 移植,"['移植', '判定', '不発', '最後 移植', '説明', '立ち会い', '通り', '移植 移植', '不発 少し', '通り 移植']","['持し 移植 不発 移植 不発 少し 不発 少し 重なる 不発 少し 移植 不発', '無し 移植 通り 通り 移植 タイトル 通り 移植 最後 移植 しれ 移植 通り', '看護 説明 移植 説明 受け 看護 説明 移植 移植 説明 受け 看護 移植 説明']"
79,78,27,78_保護_安全_安心_保安,"['保護', '安全', '安心', '保安', 'プレミアム 安心', '安全 安全', '保護 とっ', '安心 安心', '保安 検査', 'プレミアム']","['保護 大きい 保護 大きい 注射 ガーゼ 保護 大きい 保護 ガーゼ 保護 保護 いい', '安全 安全 対策 扉 安全 安全 安全 対策 防犯 安全 安全 引き戸 ロック 落下', 'もらっ 乳頭 保護 言っ 乳頭 保護 乳頭 保護 持っ 乳頭 保護 ソフト 保護 持っ']"
80,79,26,79_宿泊_三井_花仙_原宿,"['宿泊', '三井', '花仙', '原宿', '民宿', '神谷町', '東出', '事前', 'ホテル', 'ガトーキングダムサッポロ']","['宿泊 システム 難しい 入る 宿泊 ご飯代 杯 イケる 写真 宿泊 システム 宿泊 ご飯代 取ら', '山内 通常 三井 三井 住友 銀行 三井 どう とりあえず 三井 いい 山内', '三井 三井 住友 銀行 山内 話し合い 三井 もらう 物件 三井 三井 住友']"
81,80,26,80_幸せ 女の子_女の子 ママ_女の子_可愛い 女の子,"['幸せ 女の子', '女の子 ママ', '女の子', '可愛い 女の子', '可愛い 女の子 ママ', '幸せ 女の子 ママ', '旦那 愛し', '美しく', 'ママ', '愛し']","['幸せ 女の子 ママ 神 旦那 愛し 幸せ 女の子 可愛い 女の子 ママ 外見 美しく', '幸せ 女の子 ママ 神 旦那 愛し 幸せ 女の子 可愛い 女の子 ママ 外見 美しく', '幸せ 女の子 ママ 神 旦那 愛し 幸せ 女の子 可愛い 女の子 ママ 外見 美しく']"
82,81,26,81_子宮 内膜_内膜_子宮_移植 陰性,"['子宮 内膜', '内膜', '子宮', '移植 陰性', '発覚', '移植', '子宮 内膜 発覚', '内膜 発覚', '発覚 移植 陰性', '発覚 移植']","['発覚 治療 移植 治療 移植 陽性 子宮 内膜 再発 子宮 内膜 発覚 発覚 移植 陰性', '発覚 治療 移植 治療 移植 陽性 子宮 内膜 再発 子宮 内膜 発覚 発覚 移植 陰性', '発覚 治療 移植 子宮 内膜 再発 子宮 内膜 発覚 発覚 移植 陰性 移植 陰性 子宮']"
83,82,25,82_ギリギリ_長日_時代_年代,"['ギリギリ', '長日', '時代', '年代', '良かっ ギリギリ', '時計', 'ギリギリ なっ', '長日 長日', 'ギリギリ ギリギリ', '前代']","['ギリギリ なっ しまい ギリギリ ギリギリ なっ 放送 ギリギリ なっ 放送 ギリギリ', '良かっ ギリギリ なり 良かっ ギリギリ ギリギリ なく 良かっ なく 良かっ ギリギリ ダメ 拝借 ギリギリ', '良かっ ギリギリ 後戻り ギリギリ 後戻り できる ギリギリ 後戻り 覚め 良かっ ギリギリ 良かっ ギリギリ']"
84,83,25,83_年長 五男_五男_年長_長女 長男,"['年長 五男', '五男', '年長', '長女 長男', 'ユト', '年長 五男 ユト', '五男 ユト', 'ござい 長女 長男', 'とん 年長', 'とん 年長 五男']","['ござい 長女 長男 年長 五男 とん 年長 五男 年長 五男 ユト 長女 長男 次男', 'ござい 長女 長男 年長 五男 とん 年長 五男 年長 五男 ユト 長女 長男 次男', 'ござい 長女 長男 年長 五男 とん 年長 五男 年長 五男 ユト 長女 長男 次男']"
85,84,24,84_祈り_神聖_無人_期待 やっ,"['祈り', '神聖', '無人', '期待 やっ', '神域', '子連れ 最高', '行く 氏神', 'あまり 張っ', '無力', '氏神']","['取り急ぎ 情報 無人 無人 守り神 無人 守り神 声 知ら 取り急ぎ 情報 作る 楽しい 生き物', '深く 皆 神域 皆 神域 繋ぎ 浄化 養成 講座 養成 講座 期 神域 繋ぎ する', '止まら 祈り 公式 電車 止まら 祈り 生殖 医療 魔法 言葉 ほんと 通り 祈り 公式']"
86,85,24,85_クリーム_シャンプー_美容_美白,"['クリーム', 'シャンプー', '美容', '美白', '保護 クリーム', '乳頭', 'クリーム 乳頭', 'まつげ', 'スキン', '乳頭 保護 クリーム']","['保護 クリーム 保湿 リップ クリーム 乳頭 保護 クリーム 保湿 リップ 唇 保湿 リップ', '保護 クリーム 保護 クリーム 乳頭 乳頭 保護 クリーム 公式 性別 つい 公式', '保護 クリーム 乳頭 保護 クリーム 保護 クリーム 乳頭 心臓 膀胱 羊水 ラノリン 乳頭 クリーム']"
87,86,24,86_公園_水遊び_空間_公園 水遊び,"['公園', '水遊び', '空間', '公園 水遊び', '木場', 'キュラフル', '水遊び ござい', '北の丸公園', 'ゆらら', '柏の葉 公園']","['公園 水遊び ござい ぱ 公園 水遊び 子供 子供 伊豆 伊豆 旅行 遊び 公園 水遊び', '水遊び ござい 子育て 公園 水遊び ござい ぱ 公園 水遊び 公園 水遊び 子供 喜ば 良い', '水遊び ござい 子育て 公園 水遊び ござい ぱ 公園 水遊び 公園 水遊び 水遊び ござい']"
88,87,24,87_安い_安く_コストコ_価格,"['安い', '安く', 'コストコ', '価格', '飛び出る', 'やら 安い', '安い やら', '安い やら 安い', '爆安', '過ぎる']","['近い コストコ ららぽーと つくば コストコ 茨城 つくば コストコ コストコ ららぽーと コストコ ららぽーと 横並び', '値上げ ブランド 飛び出る ブランド 飛び出る ブランド 飛び出る 価格 飛び出る 価格 なっ 飛び出る 価格', '昔 安い やら 安い やら 安い やら 安い 安い やら 安い やっ']"
89,88,23,88_やめ_止まら_やめろ_やめ やめ,"['やめ', '止まら', 'やめろ', 'やめ やめ', 'やめどき', 'ポテト', 'さっさと', 'ダメ', 'ふり', 'やめよう']","['八つ当たり やめ 言っ くる 八つ当たり やめ とにかく 八つ当たり やめ やっぱり ちょっと 違う 過ぎる やっぱり ちょっと', 'ふり やめろ 言っ やめろ ふり ふり やめろ やめろ ふり やめろ やめろ 言っ', 'やめ やめ うなされ やめ うなされ 語 やめ やめ やめ やめ やめ']"
90,89,23,89_下さい_遠慮 下さい_遠慮_下さい 初めて,"['下さい', '遠慮 下さい', '遠慮', '下さい 初めて', '初めて 知らせ', '下さい 初めて 知らせ', '下さい 下さい', '下さい 遠慮 下さい', '下さい 遠慮', '遠慮 下さい 遠慮 下さい']","['下さい 閲覧 遠慮 下さい 遠慮 下さい 下さい 初めて 知らせ 言葉 出 来る', '下さい 閲覧 遠慮 下さい 遠慮 下さい 下さい 初めて 知らせ 遠慮 下さい 初めて', '下さい 閲覧 遠慮 下さい 遠慮 下さい 下さい 初めて 知らせ 遠慮 下さい 初めて']"
91,90,23,90_野菜_野菜 食べ_食べ 野菜_玉子焼き,"['野菜', '野菜 食べ', '食べ 野菜', '玉子焼き', '野菜 野菜', '食べ 野菜 食べ', '野菜 食べ 野菜', '野菜 餃子', '食べ', '野菜 たっぷり']","['玉子焼き 野菜 茄子 玉子焼き 枝豆 野菜 マキシマム 玉子焼き 野菜 玉子焼き 野菜 ブリ 塩焼き 玉子焼き', '食べ 野菜 食べ 野菜 食べ 野菜 食べ 野菜 緑 野菜 食べ 食べ 野菜', '野菜 食べ 温かい 物 食べ 野菜 食べ 野菜 冷やす 食べ 食べ 野菜 身体']"
92,91,23,91_夏休み 旅行_記事 夏休み_夏休み_夏休み 旅行 夏休み,"['夏休み 旅行', '記事 夏休み', '夏休み', '夏休み 旅行 夏休み', '記事 夏休み 旅行', '旅行 夏休み', '夏休み 旅行 夏休み 旅行', '旅行', '旅行 夏休み 旅行', '夏休み 記事 夏休み']","['夏休み 旅行 モデル 記事 夏休み 旅行 夏休み 旅行 夏休み 旅行 タイ 夏休み 旅行 部屋', '記事 夏休み 旅行 娘 夏休み 旅行 夏休み 旅行 夏休み 旅行 身なり 記事 夏休み', '記事 夏休み 旅行 夏休み 旅行 マイコ 熱 夏休み 旅行 夏休み 旅行 記事 夏休み']"
93,92,23,92_匿名_匿名 匿名_匿名 匿名 匿名_幸い 匿名,"['匿名', '匿名 匿名', '匿名 匿名 匿名', '幸い 匿名', '幸い 匿名 匿名', '匿名 匿名 希望', '匿名 匿名 匿名 希望', '頂く 匿名', '匿名 希望', '頂く 匿名 匿名']","['幸い 匿名 匿名 頂く 匿名 匿名 匿名 匿名 希望 匿名 匿名 匿名 希望 過去', '頂く 匿名 匿名 匿名 匿名 希望 匿名 匿名 幸い 匿名 匿名 匿名', '幸い 匿名 匿名 頂く 匿名 匿名 匿名 匿名 希望 匿名 匿名 幸い 匿名']"
94,93,23,93_クーポン_アイテム_限定 クーポン_注目 アイテム,"['クーポン', 'アイテム', '限定 クーポン', '注目 アイテム', '注目', '限定', 'いう アイテム', 'セラム 定期', '名品', 'セラム']","['セラム 定期 割引 スカルプ セラム 定期 クーポン 配布 期間 クーポン 使用 期間 読者 限定 クーポン', '注目 アイテム 期間 アイテム 期間 アイテム 期間 限定 注目 アイテム 限定 注目 アイテム クーポン', '入り 注目 アイテム 注目 アイテム 限定 クーポン 販売 入り アイテム 限定 注目 アイテム クーポン']"
95,94,22,94_破水_破水 破水_水漏れ_破水 どう,"['破水', '破水 破水', '水漏れ', '破水 どう', '破水 破水 破水', '破水 出産', '水筒', '水漏れ どう', '洪水 なっ', '破水 車内']","['破水 プチっ 破水 破水 破水 破水 プチっ パチっ まとめ 出産 つい', '破水 出産 破水 破水 どう 破水 出産 出産 破水 出産 破水 産まれる', '書き 思い 破水 つい 戦慄 破水 破水 破水 病院 行っ 破水 誤診 つい']"
96,95,22,95_十二指腸_原因 最後_先天 十二指腸_園長 務める,"['十二指腸', '原因 最後', '先天 十二指腸', '園長 務める', '先天', '務める', '原因', '園長', '十二指腸 閉鎖', '最後 園長 務める']","['過去 原因 最後 姪 園長 務める 園長 務める 原因 最後 決して 原因 最後', '過去 原因 最後 姪 園長 務める 園長 務める 原因 最後 決して 原因 最後', '過去 原因 最後 姪 園長 務める 園長 務める 原因 最後 決して 原因 最後']"
97,96,21,96_子連れ 世界_世界_子連れ_世界 子連れ 世界,"['子連れ 世界', '世界', '子連れ', '世界 子連れ 世界', '世界 子連れ', '子連れ 世界 子連れ 世界', '子連れ 世界 子連れ', '子連れ 世界 至る', '世界 至る', 'まとめ 子連れ 世界']","['まとめ 子連れ 世界 子連れ 世界 子連れ 世界 至る ママ 子連れ 世界 家庭 子連れ 世界', 'まとめ 子連れ 世界 子連れ 世界 子連れ 世界 至る ママ 子連れ 世界 家庭 子連れ 世界', 'まとめ 子連れ 世界 子連れ 世界 子連れ 世界 至る ママ 子連れ 世界 家庭 子連れ 世界']"
98,97,21,97_子ども 作ら_作ら_劇場 年齢_子ども 作ら もう,"['子ども 作ら', '作ら', '劇場 年齢', '子ども 作ら もう', 'もう 人生 つい', '子ども 劇場 年齢', '子ども 作ら もう 人生 つい', 'もう 人生', '作ら もう', '作ら もう 人生']","['子ども 劇場 年齢 子ども 作ら もう 人生 つい 子ども 作ら 集まる 子ども 作ら', '子ども 劇場 年齢 子ども 作ら もう 人生 つい 子ども 作ら 集まる 子ども 作ら', '子ども 劇場 年齢 子ども 作ら もう 人生 つい 子ども 作ら 集まる 子ども 作ら']"
99,98,21,98_旅行_観光_旅行 旅行_バタバタ 旅行,"['旅行', '観光', '旅行 旅行', 'バタバタ 旅行', 'ひとりたび', '週間 旅行', '想定', '旅行 行っ', 'バタバタ', '行く 週間']","['聞か 旅行 行く あり 聞か 旅行 聞か 旅行 旅行 検診 週間 旅行 行く 診', 'しまっ 行っ 後悔 バタバタ 旅行 なっ しまい バタバタ 旅行 行っ 後悔 バタバタ 旅行', '旅行 日程 旅行 日程 起床 よかっ 旅行 日程 バタバタ 旅行 なっ しまい バタバタ 旅行']"
100,99,21,99_可愛い_可愛_可愛かっ_ない 可愛い,"['可愛い', '可愛', '可愛かっ', 'ない 可愛い', 'きらい', '可愛い 可愛い', '可愛かっ 可愛かっ', '可愛い ない', '美女', '可愛く']","['なり 元気 可愛い 育児 可愛い ない 可愛い ない 可愛い ない こう 元気 可愛い', '思っ ない 可愛い ない 可愛い 暑い ない 可愛い 可愛い 暑い こう 可愛い 暑い', '子ども ない 可愛い 可愛かっ 可愛かっ 可愛かっ 可愛い 自我 ない 可愛い 自我 可愛かっ 可愛かっ']"
101,100,21,100_主婦 今年_主婦_専業 主婦_専業,"['主婦 今年', '主婦', '専業 主婦', '専業', '専業 主婦 今年', '今年', '成長 専業 主婦', '成長 専業', '主婦 今年 目標', '今年 目標']","['成長 専業 主婦 専業 主婦 今年 主婦 今年 目標 主婦 今年 年間 達成 四谷', '成長 専業 主婦 専業 主婦 今年 主婦 今年 目標 主婦 今年 年間 達成 四谷', '成長 専業 主婦 専業 主婦 今年 主婦 今年 目標 主婦 今年 年間 達成 四谷']"
102,101,21,101_嚢腫 発覚_嚢腫_発覚_発覚 治療,"['嚢腫 発覚', '嚢腫', '発覚', '発覚 治療', '病気 発覚', '卵巣 嚢腫', '卵巣 嚢腫 発覚', '嚢腫 発覚 治療', '発覚 嚢腫', '発覚 嚢腫 発覚']","['嚢腫 発覚 治療 発覚 治療 卵巣 嚢腫 発覚 病気 発覚 手術 嚢腫 発覚', '嚢腫 発覚 治療 発覚 治療 卵巣 嚢腫 発覚 病気 発覚 手術 嚢腫 発覚', '嚢腫 発覚 治療 発覚 治療 卵巣 嚢腫 発覚 病気 発覚 手術 嚢腫 発覚']"
103,102,21,102_ギャン_ギャン 泣き_泣き_泣く,"['ギャン', 'ギャン 泣き', '泣き', '泣く', '泣き止ん', 'ギャン 泣き ギャン', '泣き ギャン 泣き', '泣き ギャン', 'ギャン 泣き ギャン 泣き', '泣き止む']","['ギャン 泣き なくなり ギャン 泣き 気づけ ギャン 泣き ギャン 泣き はじまっ りん ギャン 泣き', '慣れ き ギャン ギャン 泣き 比べれ ギャン 泣き ギャン 泣き 仏 ギャン 泣き 寝', '眠たい ギャン 泣き ない ギャン 泣き ギャン 泣き 少し ギャン 泣き ギャン 泣き ない']"
104,103,21,103_つかまり立ち_引っ張る_下がり_ゆらゆら,"['つかまり立ち', '引っ張る', '下がり', 'ゆらゆら', 'つかまり立ち つかまり立ち', '引っ張ら', 'ギチギチ', '両手', 'ピキピキ', '立っ']","['出来る なっ つかまり立ち つかまり立ち 離し 立っ つかまり立ち 状態 立つ 出来 座っ 状態 立つ', 'しっかり 出来上がる つかまり立ち 出来上がる つかまり立ち 出来上がる つかまり立ち する 見る 立っ コツ 早い つかまり立ち', 'つかまり立ち つかまり立ち なっ つかまり立ち つかまり立ち つかまり立ち 限定 つかまっ 立ち上がる なっ つかまり立ち']"
105,104,21,104_マム_どう マム_マム どう マム_マム どう,"['マム', 'どう マム', 'マム どう マム', 'マム どう', 'どう マム どう マム', 'どう マム どう', 'どうぞ どう マム', 'どうぞ どう', 'ござい マム', 'どうぞ どう マム どう']","['どう マム どうぞ どう マム どう マム 本日 ござい マム ござい マム 申し', 'どうぞ どう マム どう マム どう マム 初めて マム 週間 量 マム 週間', 'どうぞ どう マム どう マム どう マム 初めて ござい マム マム 初めて']"
106,105,21,105_上司_軍曹_主任_上司 上司,"['上司', '軍曹', '主任', '上司 上司', '社長', '社員', '面接', 'ない 上司', '軍曹 本物', '本物']","['ない 上司 休み ない 上司 上司 体調 不良 やっぱり 妊娠 進ん ない 上司 体調', 'よく ない 上司 上司 聞い リーダー 伝え 上司 上司 改めて 上司 改めて 報告', '上司 実 上司 入ら 上司 上司 実 上司 き 入ら 上司']"
107,106,20,106_同い年_ござい 同い年_ござい 同い年 同い年_同い年 同い年 共働き,"['同い年', 'ござい 同い年', 'ござい 同い年 同い年', '同い年 同い年 共働き', 'ござい 同い年 同い年 共働き', '同い年 同い年', '同い年 共働き', '共働き', '訪問 ござい 同い年', '訪問 ござい 同い年 同い年']","['訪問 ござい 同い年 同い年 共働き 同い年 ござい 同い年 同い年 共働き 夫婦', '訪問 ござい 同い年 同い年 共働き 同い年 ござい 同い年 同い年 共働き 夫婦', '訪問 ござい 同い年 同い年 共働き 同い年 ござい 同い年 同い年 共働き 夫婦']"
108,107,20,107_胚盤_グレード_胚盤 グレード_タウリン,"['胚盤', 'グレード', '胚盤 グレード', 'タウリン', 'グレード 良い', '正常', '行い', '確保', 'グレード つい', 'きっと 無理']","['胚盤 グレード 表示 グレード 表示 さ グレード 表示 表示 さ 正常 胚盤 グレード', 'グレード つい 調べ 待合 グレード 聞き逃し つい 胚盤 グレード 当時 グレード つい 胚盤 グレード つい', 'グレード 良い 移植 グレード 良い グレード グレード 良い 凍結 胚盤 グレード 胚盤 グレード']"
